,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2016-09-01,0.33169692466933687,0.0,0.0,0.0,0.0,0.0035601027162250353,0.04309225461618367,0.23982494051624767,0.2231518947321791,0.15867388274982772,0.0,0.0
2016-10-01,0.31864574584383293,0.0,0.0,0.0,0.0,0.002958452190309985,0.0954343120206389,0.22696560786729936,0.15997305361192993,0.15391433619755374,0.04210849226843514,0.0
2016-11-01,0.3205036271451429,0.0,0.0,0.0,0.0,0.03337734784830317,0.05280163505536552,0.2836119811018568,0.14938430330848848,0.002728671097586917,0.1575924344432561,0.0
2016-12-01,0.2566050320768268,0.0,0.0,0.0,0.0,0.014704681967592816,0.0878507022902526,0.29127353403791756,0.14865910964430865,0.0,0.20090693998310172,0.0
2017-01-01,0.25470745929135075,0.0,0.0,0.0,0.0,0.023961027317619912,0.0825686414302092,0.2904967086814483,0.1508844651027216,0.0,0.1973816981766503,0.0
2017-02-01,0.26206445432539194,0.0,0.0,0.0,0.0,0.02354111944963896,0.09423056865745223,0.29329678935206344,0.13883666115786866,0.0,0.188030407057585,0.0
2017-03-01,0.2627111806524628,0.0,0.0,0.0,0.0,0.024880691307687303,0.10027823488259195,0.289909229399001,0.13406765453804767,0.0,0.18815300922020922,0.0
2017-04-01,0.290808496848437,0.0,0.0,0.0,0.0,0.0,0.21161448398285154,0.19413735491563033,0.0,0.10568528866534915,0.197754375587732,0.0
2017-05-01,0.24889998863235416,0.0,0.0,0.0,0.0,0.07131289861559152,0.07750463179639235,0.28661670651506393,0.14973948070868254,0.0,0.16592629373191545,0.0
2017-06-01,0.2906812073773346,0.0,0.0,0.0,0.0,0.15947837646862326,0.0,0.28303863585264016,0.030431064119719776,0.0,0.23637071618168226,0.0
2017-07-01,0.3086348516052694,0.0,0.0,0.0,0.0,0.1334417297064006,0.0,0.28090233848615564,0.0,0.0,0.27702108020217453,0.0
2017-08-01,0.29331779039460243,0.0,0.0,0.0,0.0,0.14605812432215493,0.0,0.28143429055392466,0.0,0.0,0.27918979472931815,0.0
2017-09-01,0.25307416411074624,0.0,0.0,0.0,0.0,0.16288545631262955,0.0,0.31799718611461103,0.0,0.0,0.26604319346201316,0.0
2017-10-01,0.25599134722051164,0.0,0.0,0.0,0.0,0.1570776210841752,0.0,0.3099237694805244,0.0,0.0,0.2770072622147889,0.0
2017-11-01,0.0,0.0,0.2792082126119449,0.0,0.0,0.35000000000000026,0.0,0.0,0.0,0.020791787388054542,0.35000000000000026,0.0
2017-12-01,0.0,0.0,0.13165512038518695,0.0,0.0,0.3499999999999998,0.0,0.0,0.0,0.1683448796148134,0.3499999999999998,0.0
