,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2016-11-01,0.2679277224370512,0.0,0.0,0.0,0.0,0.18825489602081125,0.26792772243705015,0.26792772243705165,0.007961936668035616,0.0,0.0,0.0
2016-12-01,0.17150242083483772,0.0,0.0,0.0,0.0,0.13224334870669457,0.17150242083483813,0.1715024208348347,0.17150242083483758,0.01024454711911974,0.0,0.17150242083483752
2017-01-01,0.17150242083483772,0.0,0.0,0.0,0.0,0.13224334870669457,0.17150242083483813,0.1715024208348347,0.17150242083483758,0.01024454711911974,0.0,0.17150242083483752
2017-02-01,0.17150242083483813,0.0,0.0,0.0,0.0,0.13224334870669419,0.17150242083483794,0.17150242083483813,0.1715024208348379,0.010244547119115733,0.0,0.1715024208348379
2017-03-01,0.17150242083483813,0.0,0.0,0.0,0.0,0.13224334870669419,0.17150242083483794,0.17150242083483813,0.1715024208348379,0.010244547119115733,0.0,0.1715024208348379
2017-04-01,0.1715024208348383,0.0,0.0,0.0,0.0,0.13224334870669552,0.17150242083483827,0.17150242083483797,0.17150242083483822,0.010244547119113465,0.0,0.17150242083483822
2017-05-01,0.1715024208348383,0.0,0.0,0.0,0.0,0.13224334870669552,0.17150242083483827,0.17150242083483797,0.17150242083483822,0.010244547119113465,0.0,0.17150242083483822
2017-06-01,0.1525570443030077,0.0,0.13804767673843102,0.10486487653232446,0.0,0.15255704430300795,0.15255704430300793,0.15255704430300787,0.0,0.08339439796955452,0.0,0.06346487154765865
2017-07-01,0.15430259233153046,0.003625843387193017,0.15430259233152985,0.01293945444868495,0.0,0.15430259233153043,0.15430259233153049,0.15430259233153013,0.01526037279924246,0.04235877537569788,0.0,0.1543025923315304
2017-08-01,0.1537575469788825,0.0,0.15375754697888266,0.024756989511789312,0.0,0.15375754697888183,0.1537575469788828,0.1537575469788827,0.010193509779144827,0.047656992740398765,0.0,0.14860477307425468
2017-09-01,0.15396896289755616,0.0,0.14169561040664658,0.05656575526919612,0.0,0.1539689628975564,0.15396896289755618,0.15396896289755624,0.0,0.059910382794935504,0.0,0.12595239993899673
2017-10-01,0.15510199916139403,0.0,0.1551019991613942,0.0180918766776029,0.0,0.15510199916139414,0.1551019991613941,0.15334317496941352,0.008222514784162707,0.0448324377618504,0.0,0.15510199916139403
2017-11-01,0.15292201889250312,0.0,0.15292201889250345,0.049241592408060524,0.0,0.15292201889250392,0.15292201889250362,0.1529220188925035,0.011263298350685723,0.05989906894594331,0.0,0.11498594583279281
2017-12-01,0.15324498855451638,0.0,0.15324498855451638,0.039777178164132586,0.0,0.15324498855451665,0.15324498855451632,0.15324498855451643,0.010849776341063154,0.05516694889050045,0.0,0.12798115383172162
2018-01-01,0.15118232395174722,0.0,0.15118232395174672,0.10022221230518724,0.0,0.15118232395174655,0.1511823239517469,0.15118232395174652,0.01349075879866826,0.0853889099056085,0.0,0.044986499231801945
2018-02-01,0.15118232395174658,0.0,0.15118232395174677,0.10022221230518756,0.0,0.15118232395174674,0.15118232395174694,0.1511823239517467,0.013490758798669128,0.08538890990560835,0.0,0.04498649923180143
2018-03-01,0.0,0.0,0.07930066023127011,0.0,0.0,0.31095228451374707,0.0,0.2920362832447841,0.2353118962629472,0.0,0.08239887574725141,0.0
2018-04-01,0.0,0.0,0.07930066023126996,0.0,0.0,0.3109522845137471,0.0,0.29203628324478476,0.23531189626294582,0.0,0.08239887574725224,0.0
2018-05-01,0.0,0.0,0.0793006602312713,0.0,0.0,0.31095228451374546,0.0,0.29203628324478614,0.2353118962629452,0.0,0.08239887574725191,0.0
2018-06-01,0.0,0.0,0.07930066023127134,0.0,0.0,0.3109522845137462,0.0,0.29203628324478603,0.23531189626294444,0.0,0.08239887574725194,0.0
2018-07-01,0.0,0.0,0.07930066023127086,0.0,0.0,0.3109522845137509,0.0,0.2920362832447841,0.235311896262943,0.0,0.0823988757472511,0.0
2018-08-01,0.0,0.0,0.07930066023127118,0.0,0.0,0.3109522845137447,0.0,0.292036283244786,0.2353118962629478,0.0,0.08239887574725048,0.0
2018-09-01,0.012058879581498245,0.0,0.0,0.0,0.0,0.32311395513844016,0.0,0.3231139551384398,0.1849207053084832,0.0,0.15679250483313859,0.0
2018-10-01,0.012058879581497038,0.0,0.0,0.0,0.0,0.3231139551384395,0.0,0.32311395513844066,0.1849207053084842,0.0,0.15679250483313883,0.0
2018-11-01,0.28931836130866184,0.0,0.0,0.0,0.0,0.3489650645635447,0.0,0.32541319856592826,0.0,0.0,0.036303375561865296,0.0
2018-12-01,0.289318361308663,0.0,0.0,0.0,0.0,0.3489650645635455,0.0,0.3254131985659276,0.0,0.0,0.03630337556186389,0.0
2019-01-01,0.21800028621369966,0.0,0.0,0.0,0.10338549918735701,0.3286142145989433,0.0,0.35000000000000003,0.0,0.0,0.0,0.0
2019-02-01,0.21800028621369977,0.0,0.0,0.0,0.103385499187357,0.3286142145989433,0.0,0.35000000000000003,0.0,0.0,0.0,0.0
