,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2016-12-01,0.34999999999999953,0.0,0.0,0.0,0.0,0.23178891158733697,0.14797850249461605,0.2702325859180474,0.0,0.0,0.0,0.0
2017-01-01,0.34999999999999953,0.0,0.0,0.0,0.0,0.23178891158733697,0.14797850249461605,0.2702325859180474,0.0,0.0,0.0,0.0
2017-02-01,0.35000000000000003,0.0,0.0,0.0,0.0,0.2317889115873359,0.14797850249461741,0.2702325859180466,0.0,0.0,0.0,0.0
2017-03-01,0.34999999999999964,0.0,0.0,0.0,0.0,0.23178891158733547,0.1479785024946177,0.2702325859180472,0.0,0.0,0.0,0.0
2017-04-01,0.34999999999999976,0.0,0.0,0.0,0.0,0.23178891158733608,0.14797850249461741,0.2702325859180468,0.0,0.0,0.0,0.0
2017-05-01,0.34999999999999976,0.0,0.0,0.0,0.0,0.23178891158733608,0.14797850249461741,0.2702325859180468,0.0,0.0,0.0,0.0
2017-06-01,0.3049796932318799,0.0,0.0,0.046311941586780404,0.0,0.35000000000000003,0.02844135093654329,0.156380759254045,0.0,0.027107859672230238,0.08677839531852108,0.0
2017-07-01,0.3049796932675537,0.0,0.0,0.046311944046984826,0.0,0.3499999978047612,0.02844135116351784,0.15638075870954407,0.0,0.02710786215468035,0.08677839285295805,0.0
2017-08-01,0.3049796932191361,0.0,0.0,0.04631194070788035,0.0,0.3500000007842418,0.02844135085545705,0.15638075944856583,0.0,0.02710785878538352,0.0867783961993353,0.0
2017-09-01,0.30497969276835263,0.0,0.0,0.04631190961852648,0.0,0.35000002852524836,0.028441347987190127,0.1563807663293585,0.0,0.027107827414932156,0.08677842735639181,0.0
2017-10-01,0.30497969315357154,0.0,0.0,0.04631193618605683,0.0,0.35000000481906085,0.028441350438279542,0.15638076044934976,0.0,0.02710785422267605,0.08677840073100551,0.0
2017-11-01,0.35,0.0,0.048894191169395654,0.0,0.0,0.35,0.04396793055599266,0.12587379050824882,0.0,0.06167764936304262,0.019586438403320257,0.0
2017-12-01,0.35,0.0,0.04889419116939526,0.0,0.0,0.35,0.0439679305559925,0.1258737905082492,0.0,0.06167764936304305,0.019586438403320052,0.0
2018-01-01,0.35000000000000003,0.0,0.04889419116939554,0.0,0.0,0.35000000000000003,0.04396793055599254,0.12587379050824882,0.0,0.061677649363042854,0.01958643840332015,0.0
2018-02-01,0.34999999999999964,0.0,0.04889419116939636,0.0,0.0,0.34999999999999964,0.043967930555993025,0.12587379050824868,0.0,0.061677649363042784,0.01958643840331966,0.0
2018-03-01,0.09741441126776276,0.0,0.02543286479062413,0.0,0.0,0.3499999999999998,0.0,0.2793198059051578,0.10368354109271036,0.0,0.1441493769437451,0.0
2018-04-01,0.09741441126776232,0.0,0.025432864790624957,0.0,0.0,0.35000000000000003,0.0,0.27931980590515776,0.1036835410927097,0.0,0.1441493769437452,0.0
2018-05-01,0.09741441126780213,0.0,0.025432864790656252,0.0,0.0,0.349999999999998,0.0,0.27931980590512595,0.10368354109269859,0.0,0.14414937694371918,0.0
2018-06-01,0.09741441126776301,0.0,0.0254328647906232,0.0,0.0,0.35000000000000003,0.0,0.2793198059051582,0.10368354109270865,0.0,0.14414937694374697,0.0
2018-07-01,0.09741441126776239,0.0,0.025432864790624215,0.0,0.0,0.35000000000000014,0.0,0.279319805905158,0.10368354109270896,0.0,0.14414937694374624,0.0
2018-08-01,0.09741441126776425,0.0,0.025432864790622126,0.0,0.0,0.3499999999999998,0.0,0.27931980590515826,0.10368354109270761,0.0,0.144149376943748,0.0
2018-09-01,0.08997795975713614,0.0,0.0,0.0,0.0,0.35000000000000026,0.0,0.29357251140022117,0.09986202652597465,0.0,0.16658750231666788,0.0
2018-10-01,0.08997795975713473,0.0,0.0,0.0,0.0,0.34999999999999976,0.0,0.29357251140022195,0.09986202652597642,0.0,0.16658750231666702,0.0
2018-11-01,0.2893183613086612,0.0,0.0,0.0,0.0,0.34896506456354404,0.0,0.32541319856592865,0.0,0.0,0.036303375561866004,0.0
2018-12-01,0.28931836130866245,0.0,0.0,0.0,0.0,0.34896506456354504,0.0,0.32541319856592815,0.0,0.0,0.03630337556186432,0.0
2019-01-01,0.2180002862136997,0.0,0.0,0.0,0.10338549918735698,0.32861421459894335,0.0,0.35,0.0,0.0,0.0,0.0
2019-02-01,0.2180002862136995,0.0,0.0,0.0,0.10338549918735747,0.328614214598943,0.0,0.3499999999999999,0.0,0.0,0.0,0.0
2019-03-01,0.21800028621369963,0.0,0.0,0.0,0.10338549918735741,0.328614214598943,0.0,0.3499999999999999,0.0,0.0,0.0,0.0
2019-04-01,0.2180002862136994,0.0,0.0,0.0,0.10338549918735769,0.328614214598943,0.0,0.35,0.0,0.0,0.0,0.0
2019-05-01,0.21800028621369902,0.0,0.0,0.0,0.1033854991873572,0.32861421459894374,0.0,0.35,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.2753705658132869,0.0007253551520159417,0.0,0.3499999999999998,0.3499999999999998,0.023904079034697368,0.0,0.0
2019-07-01,0.0,0.0,0.0,0.0,0.2753705658132852,0.0007253551520158449,0.0,0.34999999999999964,0.34999999999999964,0.023904079034699703,0.0,0.0
2019-08-01,0.0,0.0,0.0,0.0,0.27537056581328584,0.0007253551520153907,0.0,0.3500000000000002,0.3500000000000002,0.023904079034698412,0.0,0.0
2019-09-01,0.0,0.0,0.0,0.0,0.275370565813287,0.0007253551520173246,0.0,0.3499999999999998,0.3499999999999998,0.023904079034695925,0.0,0.0
2019-10-01,0.0,0.0,0.0,0.0,0.27537056581328556,0.0007253551520144794,0.0,0.34999999999999964,0.34999999999999964,0.023904079034700595,0.0,0.0
2019-11-01,0.0,0.0,0.0,0.0,0.27537056581328556,0.0007253551520144794,0.0,0.34999999999999964,0.34999999999999964,0.023904079034700595,0.0,0.0
2019-12-01,0.0,0.0,0.0,0.0,0.27537056581328634,0.0007253551520163305,0.0,0.3499999999999999,0.3499999999999999,0.023904079034697497,0.0,0.0
2020-01-01,0.07740504795928642,0.0,0.0,0.0,0.14007013421115178,0.034539093457108275,0.0,0.35,0.35,0.04798572437245359,0.0,0.0
2020-02-01,0.08606144708183355,0.0,0.0,0.0,0.12493915027303708,0.038320567951487416,0.0,0.35000000000000003,0.35000000000000003,0.05067883469364203,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.3499999999999996,0.06041848299912819,0.3499999999999996,0.23958151700087255,0.0,0.0,0.0
