date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2019-08,-1.42,-4.68,-2.08,-8.51,-0.88,-2.61,0.29,3.45,0.12,-0.64,-4.83,-4.20
2019-09,1.88,3.78,4.33,3.69,2.89,1.36,1.26,3.94,0.83,-0.98,2.67,0.44
2019-10,0.08,7.02,0.71,-2.08,-1.21,3.34,2.19,-1.39,0.67,4.66,3.39,2.42
2019-11,2.27,2.91,4.47,1.12,0.83,5.30,2.47,-2.14,2.11,5.48,5.74,3.81
2019-12,3.48,5.40,0.99,6.24,2.08,3.81,1.04,4.12,1.35,3.45,2.62,2.00
2020-01,-0.43,6.15,-2.83,-11.87,-2.56,3.40,-2.12,4.83,0.97,-1.99,-2.44,0.61
2020-02,-8.76,-7.25,-8.52,-15.43,-8.79,-6.99,-6.22,-9.89,-6.72,-5.37,-10.71,-8.39
2020-03,-10.87,-22.67,-20.31,-34.47,-9.92,-9.66,-13.22,-13.05,-7.91,-5.09,-20.20,-17.71
2020-04,7.75,25.49,10.17,32.31,12.12,14.84,9.21,5.18,18.24,13.45,11.96,11.00
2020-05,3.10,7.13,6.49,0.56,4.63,7.62,4.81,4.63,4.48,4.16,3.65,6.21
2020-06,-0.14,14.13,3.38,-0.39,1.19,5.79,-2.62,-5.02,4.42,-1.44,-0.35,1.70
2020-07,5.87,18.68,2.98,-4.79,7.49,6.83,5.06,6.34,9.43,4.39,1.97,6.79
2020-08,4.45,40.99,6.85,-1.14,4.95,10.69,5.60,-2.25,8.07,2.35,4.90,9.35
2020-09,-2.08,-9.04,-0.26,-14.99,0.08,-5.29,-1.97,-0.32,-3.86,-1.43,-4.10,-1.22
2020-10,-2.70,-3.25,-0.77,-4.46,-0.72,-1.81,-3.89,4.47,-2.69,-4.37,-0.78,-2.85
2020-11,10.02,33.90,17.07,28.53,8.34,10.75,14.47,2.66,8.30,9.83,16.34,15.01
2020-12,4.91,15.39,2.90,5.69,1.79,5.08,5.12,0.62,1.38,4.71,6.94,3.95
2021-01,-4.15,11.48,-1.41,5.05,-4.10,0.56,-3.55,-0.44,-0.06,3.42,-2.82,-2.49
2021-02,1.32,-8.08,7.94,23.62,0.63,1.30,4.26,-4.59,-1.65,-1.25,10.75,8.39
2021-03,7.28,0.87,7.82,2.28,7.49,0.87,1.63,10.39,5.73,-0.09,5.87,4.27
2021-04,3.32,4.40,2.35,0.75,2.62,6.36,3.08,3.98,7.03,2.96,6.19,5.21
2021-05,1.97,-5.33,2.96,6.20,2.36,-0.88,-0.51,-1.16,-2.15,-0.12,3.21,2.01
2021-06,-0.81,5.56,-0.31,5.53,-2.55,6.80,-0.01,-1.42,2.93,4.41,-2.26,-1.51
2021-07,0.23,-0.96,0.83,-8.66,2.47,3.64,0.36,2.97,0.25,2.84,0.21,-1.64
2021-08,-0.28,1.78,0.67,-1.16,0.28,4.64,1.37,3.23,2.41,2.84,2.86,2.54
2021-09,-4.58,2.80,-6.26,11.08,-4.74,-6.15,-5.58,-4.87,-4.38,-6.02,-1.54,-3.84
2021-10,3.74,30.78,4.48,10.27,6.11,8.16,-4.24,5.11,5.15,2.23,7.07,6.08
2021-11,-3.87,2.05,-1.12,-5.40,0.25,1.51,-7.19,-1.97,1.47,-4.26,-5.68,-5.20
2021-12,8.07,-4.66,4.14,3.05,9.42,1.66,3.95,8.56,1.52,6.58,4.72,5.20
2022-01,-0.65,-10.31,-5.56,17.42,-6.41,-8.40,-1.93,-2.10,-8.83,-8.77,-0.69,-7.27
2022-02,-0.57,-7.07,-0.16,8.36,-3.47,-4.52,0.29,-1.09,-1.55,-1.01,-1.62,-1.97
2022-03,0.45,15.03,1.30,9.79,0.12,3.31,-2.42,9.69,2.98,5.15,-1.04,4.36
2022-04,2.26,-16.90,-7.93,-1.28,0.44,-12.61,-10.56,-3.71,-9.78,-6.91,-7.98,-10.89
2022-05,-1.63,-9.04,-0.08,15.57,-0.95,-2.09,8.66,4.80,-4.10,0.96,2.88,-2.85
2022-06,-3.89,-11.84,-10.02,-16.55,-8.31,-8.15,-6.63,-6.54,-7.73,-2.02,-9.05,-11.28
2022-07,4.13,27.65,10.98,10.46,3.15,11.68,-0.03,6.30,14.70,2.77,7.40,11.22
2022-08,-1.82,-5.79,-4.38,3.34,-1.62,-5.30,-2.87,0.14,-3.11,-5.04,-2.15,-3.39
